track	ver	tag	sha	server_port	db_port	patch	desc
turn	1	perf/turn-v1	57fb36f	8091	5601	turn-v1	LLM 호출이 트랜잭션 안 (수정 전, PR #25 내부)
turn	2	perf/turn-v2	0feceae	8092	5602	turn-v2	LLM 호출 트랜잭션 분리 + 풀 감시 (PR #25 병합)
word	1	perf/word-v1	e1dc238	8093	5603	-	LLM 뜻 생성 도입 (PR #63)
word	2	perf/word-v2	7f8f3c1	8094	5604	-	표제어 정규화 + 어휘 사전 (PR #86~#90)
word	3	perf/word-v3	8289111	8095	5605	-	프롬프트 품질, 20자 기준 (PR #92)
word	4	perf/word-v4	ab8b8ca	8096	5606	-	어절 기준 5~7어절 (PR #94)
word	5	perf/word-v5	7a2c374	8097	5607	-	예문 3종 + 문체 통일 (PR #106, 현재)
stt	1	perf/stt-v1	0feceae	8098	5608	-	STT 도입 (PR #25)
stt	2	perf/stt-v2	1d6be9e	8099	5609	-	신뢰도 산출 + 기준값 0.5 (PR #34)
stt	3	perf/stt-v3	cec8c6e	8100	5610	-	어휘 힌트 에코 필터 (PR #54/#57)
stt	4	perf/stt-v4	e49bc7b	8101	5611	-	문장 단위 프롬프트 (PR #61)
stt	5	perf/stt-v5	b81698d	8102	5612	-	근접 오인식 교정 + 영어 환각 필터 (PR #83)
journey	1	perf/journey-v1	1c503cd	8103	5613	-	AI 파이프라인 정비 (PR #68)
journey	2	perf/journey-v2	b81698d	8104	5614	-	STT 정확도 파이프라인 (PR #83)
journey	3	perf/journey-v3	617cbf9	8105	5615	-	유도 프롬프트 강화 (PR #101)
journey	4	perf/journey-v4	c3fcb8a	8106	5616	-	장면 루프 수정까지 (현재 develop)
